food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
gelatin dessert,167,0,0,0,0,38.3,36.4,3.3,0,0,0.2,227.9,0,0,0.015,0,0,0,0,8.1,0.094,49.792,
chocolate milk dessert,229,1.4,0.8,0.5,0.084,51.6,51.6,5.9,0,0,0.1,76.7,0,0.039,0.4,1,0,0,0,211,0.02,270.99,
chocolate mousse,338,24,13.7,7.5,1.3,24.1,22.2,6.2,0.9,210,0.081,94.4,0.2,0.058,0.3,0.2,0,0.8,0.044,144,0.8,200.4,
dulce de leche,60,1.4,0.9,0.4,0.063,10.5,9.5,1.3,0,5.5,0.036,5.5,0.094,0.011,0.094,0.5,0.04,0.087,0.008,47.7,0.001,61.415,
apple crisp,454,9.7,1.9,3.8,3.2,87,55.5,4.9,3.9,0,1,177.4,0.001,0.2,0.2,6.2,0,1.1,0.056,98.7,2.3,212.724,
spinach spaghetti cooked,182,0.9,0.1,0.1,0.4,36.6,0,6.4,0,0,0.061,95.4,0,0.1,0.1,0,0,0,0,42,1.5,87.4,
corn pasta cooked,176,1,0.1,0.3,0.5,39.1,0,3.7,6.7,0,0,95.6,0,0.074,0.032,0,0,0,0,1.4,0.4,52.3,
spaghetti with meat sauce,255,2.9,1,0.9,0.9,43.1,7.4,14.3,5.1,17,0.7,220.2,0,0.3,3.8,15.3,0,1.4,0.002,50.9,3.5,135.1,
pasta with meatballs in tomato sauce,273,13,5,5.7,0.9,28.3,7.2,10.6,6.9,23,0.7,199.5,0.052,0.2,0.3,7.7,0.061,2,0.027,30.6,3.3,100.474,
cheese tortellini,332,7.8,3.9,2.2,0.5,50.8,1,14.6,2.1,45.4,0.4,32.9,0.079,0.3,0.3,0,0,0.2,0.087,164.2,1.6,241.181,
pasta with sliced franks in tomato sauce,227,6,2.5,2.5,1,32,8,11,4,22.7,0.7,197.1,0.054,0.2,0.2,9.6,0.07,1.9,0.072,151.2,2.3,216.154,
lasagna,166,6.1,2.9,2.2,0.5,18.9,3.8,9,2.1,20.9,0.5,87.2,0.2,0.074,0,0.2,3.1,0,1,0.08,0.1,36.675,
macaroni cheese,310,9.4,3.1,4.2,2,43.7,3,12.6,2.3,15.1,0.9,120.2,0.2,0.015,0.02,0.056,0,0,1,0,0.1,68.319,
vegetable lasagna,316,13.7,5.5,3.3,2.6,32.2,5.8,15.6,4.3,31.8,1,161.7,0.052,0.3,0.4,2.5,0,1,0.082,340.5,1.2,410.066,
spinach egg noodles cooked,211,2.5,0.6,0.8,0.6,38.8,1.1,8.1,3.7,52.8,0.068,109.6,0.037,0.4,0.2,0,0.053,0.9,0.2,30.4,1.7,85.297,
cheese lasagna,316,13,5.1,3.8,2.5,33.6,10.3,15.9,4.1,31.6,0.7,176.9,0.084,0.3,0.4,41.6,0,2.1,0.097,269.7,3.1,381.08,
pasta with tomato sauce,176,1.8,0.4,0.3,0.5,35.1,10.1,5.6,2.3,15.1,1,207,0.071,0.099,0,0.1,0,0,1.6,0.083,0.1,45.091,
spinach pasta cooked,37,0.3,0.078,0.073,0.043,7.1,0,1.4,0,9.3,0.004,19.4,0.039,0.084,0.091,0,0,0,0,5.1,0.3,14.201,
vegetable chicken soup,166,4.8,1.4,2.2,1,21.1,3.4,12.3,1,16.9,0.075,201,0.05,0.069,0.2,5.5,0,0.7,0.054,26.5,1.5,72.737,
bean ham soup,198,2.5,0.6,1,0.7,33.5,7.8,10.3,9.8,4.9,0.5,195.8,0,0.1,0.068,2.7,0,1,0.035,93.1,2.5,154.4,
cream of chicken soup,227,14.5,4.3,5.2,2.7,18,1.4,6,0,20.2,1.8,208.5,0.1,0.064,0.1,0.3,0,1.4,0.052,35.3,2.7,76.9,
tomato soup canned,139,3.3,1.8,0.8,0.3,22.6,16.5,6.3,1.5,10.1,0.5,216.7,0.014,0.036,0.3,15.9,0.07,0.5,0.083,173.9,1.4,224.932,
egg drop soup,65,1.5,0.4,0.5,0.3,10.3,0.2,2.8,1,55.4,0.9,223.8,0.002,0.013,0.079,15.7,0.08,0.3,0.041,16.9,0.6,48.808,
scotch broth,197,6.4,2.7,1.9,1.3,23,0,12.1,3,11.9,2.1,249.7,0,0.059,0.1,2.1,0,0.2,0,35.8,2,84.4,
cream of onion soup,268,12.8,3.6,5.1,3.5,31.7,11.1,6.7,1.2,36.6,1.9,247.1,0.08,0.1,0.2,3.1,0,1.3,0.035,82.4,1.5,139.473,
chicken broth dry,10,0.2,0.055,0.013,0.069,1.1,0,0.7,0,0.6,1.2,0.1,0,0.052,0.018,0.07,0,0.074,0,9.1,0.059,11.198,
vegetable soup with beef broth,162,3.8,0.9,1.1,1.6,26.3,4,6,3.2,2.5,1.3,204.8,0.2,0.1,0.04,4.7,0,0.3,0.065,34.4,1.9,80.5,
chili with beans canned,287,14.1,6,6,0.9,30.5,3,14.6,11.3,43.5,1.3,193.3,0,0.1,0.3,4.4,0,1.3,0.074,120.3,8.8,204,
beef noodle soup,168,6.2,2.3,2.5,1,17.9,5.2,9.6,1.5,10,1.6,211.1,0.037,0.1,0.1,0.8,0,2.5,0.02,30,2.2,68.232,
consomme dry,17,0.2,0,0,0,1.9,1.1,2.2,0,0,0.8,235.9,0,0.1,0.2,0.2,0,0.033,0,12.5,0.2,17.2,
chicken mushroom soup,126,6.1,1.6,2.7,1.5,15.1,1,2,4,10.1,0.8,101.3,0.04,0.019,0.1,0,0,0.8,0.061,29,0.9,57.171,
beef vegetable soup,120,2.9,1,0.7,0.9,15.4,3.1,8,3,17.5,0.8,220.6,0.3,0.094,0.086,9,0,1.1,0.04,45,1.3,84.9,
black bean soup,234,3.4,0.9,1.2,1.1,39.6,6.4,12.4,17.5,0,2.5,193.6,0,0.1,0.1,0.5,0,0.9,0.035,90,3.9,167.3,
split pea soup with ham bacon,189,3.1,0.9,1.2,0.6,28.6,0,11.6,4.1,4.1,1,88.3,0,0,0,0,0,0,0,0,2.1,49.5,
cream of mushroom soup,199,13.4,2.4,3.1,7.3,17.1,1,3.4,1.8,0,1.7,213.4,0.057,0.02,0.079,0,0.071,1.3,0.024,30.2,0.5,66.404,
green pea soup,320,5.7,2.7,1.9,0.7,51.7,16.7,16.7,10,0,1.7,175.5,0.067,0.2,0.1,3.3,0,0.5,0.024,53.8,3.8,145.005,
chicken broth soup,78,2.6,0.8,1.2,0.6,1.9,0.9,11.1,0,2.5,1.6,231.7,0,0.054,0.1,0,0,0.048,0,15.1,1,31.7,
chicken mushroom chowder soup,431,23.7,6.2,4.5,9.4,38.3,0,16.2,7.5,32.3,1.8,453.8,0,0,0,10.8,0,0,0,0,2.6,99.1,
chicken dumplings soup,235,13.4,3.2,6.1,3.2,14.7,1.4,13.6,1.2,80.5,1.8,249.8,0.077,0.074,0.2,0,0,1.3,0.086,35.8,1.5,80.269,
chicken vegetable soup,148,5.6,1.7,2.5,1.2,17,3,7.1,1.7,16.9,1.7,207,0.028,0.061,0.1,1.9,0,0.6,0.036,33.9,1.7,68.983,
turkey vegetable soup,72,3,0.9,1.3,0.7,8.6,2.6,3.1,0.5,2.4,0.9,223.9,0.1,0.031,0.097,0,0,0.8,0.017,16.9,0.8,33,
wonton soup,71,0.6,0.1,0.2,0.2,11.7,0.8,4.6,0.4,8.9,0.9,203.3,0.043,0.08,0.043,1.6,0,0.1,0.058,11.2,0.5,30.692,
beef stock,31,0.2,0.003,0.1,0.005,2.9,1.3,4.7,0,0,0.5,230.1,0,0.044,0.2,0,0,0.048,0.024,19.2,0.6,27.6,
mushroom barley soup,186,5.5,1.1,2.4,1.7,29.3,0,4.6,0,0,1.7,258.9,0,0.009,0.2,0,0,0,0,30.5,1.2,71.1,
gazpacho soup,70,0.4,0.008,0.059,0.1,6.6,2.2,10.7,0.7,0,1.1,346,0,0.058,0.091,10.7,0,0.7,0.041,36.9,1.5,67.5,
beef mushroom soup,186,7.3,3.7,3.1,0.3,15.9,0,14,0.6,15.3,2.2,260.8,0,0.071,0.2,0,0,0,0,12.2,2.1,52.1,
chicken rice soup,127,3.2,1,1.4,0.7,13,1.4,12.3,1,12,0.9,208.3,0.047,0.018,0.002,3.8,0,0.6,0.084,33.6,1.9,68.818,
pepperpot soup,100,4.5,2,2,0.3,9.1,0,6.2,0.5,9.7,0.9,219.8,0,0.071,0.027,1.2,0,0.097,0,26.7,0.9,49.1,
vegetable soup,149,4,0.6,1.7,1.5,24.6,7.9,4.3,1.3,0,1.3,214,0,0.1,0.049,3,0,2.9,0.041,42.8,2.2,82.2,
chili beef soup,308,6.7,3.3,2.7,0.2,49.6,13.4,13.4,6.6,26.3,2.1,186.4,0.2,0,0.067,0.3,8.2,0,2.8,0.072,0.8,77.607,
chicken soup,174,6.5,1.9,2.9,1.3,16.9,2.1,12.4,1.5,29.4,0.9,206.1,0.027,0.055,0.2,1.2,0,0.3,0.085,24.5,1.7,64.716,
bean with frankfurters soup,188,7,2.1,2.7,1.7,22,0,10,0,12.5,1.1,207.6,0,0.1,0.018,1,0,0,0,87.5,2.4,129.9,
pea soup,161,2.8,1.4,1,0.4,25.6,8.3,8.3,4.9,0,0.015,219,0.055,0.1,0.074,1.6,0,0.2,0.066,31.1,1.9,76.26,
turkey soup,135,4.4,1.2,1.8,1.1,14.1,0,10.2,0,9.4,0.9,203.8,0,0.045,0.1,6.4,0,0,0,49.6,1.9,86.6,
stockpot soup,201,7.8,1.7,2,3.5,23.1,0,9.8,0,7.7,2.1,211.3,0,0.002,0.1,4.1,0,0,0,43.9,1.8,90.5,
hot sour soup,91,2.8,0.5,0.7,0.7,10.1,1,6,1.2,48.9,0.9,211.2,0.088,0.032,0.03,0,0.017,0.9,0.059,44.3,1.5,65.954,
cheese soup,203,9.7,6.1,2.7,0.3,28,9.3,2,5.5,7.4,1.7,202.6,0.2,0.023,0.3,0,0,1.4,0.074,89.3,0.4,135.1,
cream of potato soup,186,4.7,2.4,1.1,0.8,32.2,3.6,3.8,3.3,2.5,1.5,215.2,0.087,0.012,0.096,0.5,0,0.2,0.056,42.8,0.9,88.202,
bean with bacon soup,106,2.1,1,0.9,0.2,16.4,0.6,5.5,9,2.7,0.9,237.8,0,0.086,0.3,1.1,0,0.6,0.009,55.7,1.3,91.1,
fish stock,40,1.9,0.5,0.5,0.3,0,0,5.3,0,2.3,0.4,225.9,0.036,0.009,0.2,0.2,0,0.4,0,7,0.019,14.488,
split pea soup with ham,381,8.9,3.5,3.6,1.3,56.2,0,20.7,4.6,16.2,1.7,177.3,0,0.3,0.2,3,0,0,0,43.2,4.6,141.2,
beef broth soup,17,0.5,0.3,0.2,0.049,0.01,0,2.7,0,0,0.9,234.1,0,0.023,0.055,0,0,0,0,14.4,0.4,18.049,
lentil soup with ham,139,2.8,1.1,1.3,0.3,20.2,0,9.3,0,7.4,1.3,212.7,0,0.2,0.1,4.2,0,0,0,42.2,2.7,81.4,
tomato soup,98,0.7,0.2,0.2,0.2,22.5,12.2,2.2,1.6,0,0.6,119.6,0,0.044,0.076,19.1,0,0.5,0.034,19.2,0.9,66.2,
fish broth,39,1.5,0.3,0.3,0.6,1,0.2,4.9,0,0,0.5,234.2,0.068,0,0.089,0,0,0.4,0.094,73.2,0.5,81.193,
chili without beans canned,283,17,5.4,5.9,1.1,14.6,0,18.1,0,50.4,0.9,186.4,0,0.044,0.3,4.3,0,0,0,72,4.8,130.8,
minestrone soup,167,5,1.1,1.4,2.2,22.6,3.7,8.6,2,2.5,1.3,204.1,0,0.1,0.008,2.2,0,1.1,0.052,68.9,1.8,111.1,
clam chowder soup,154,4.4,0.8,0.8,2.6,24.5,6.8,4.4,3,5,1.8,212.4,0.051,0.087,0.086,8.1,0,2.6,0.011,47.9,3.3,95.69,
tomato vegetable soup,54,0.8,0.4,0.3,0.054,9.9,2.4,1.9,0.7,0,0.3,230.9,0,0.088,0.091,2.9,0,0.4,0.079,19.6,0.6,36.4,
cream of rice coup,127,0.2,0.07,0.071,0.032,28.1,0.022,2.2,0.2,0,0.4,213.5,0,0,0,0,0,0.092,0,7.3,0.5,38.5,
cream of celery soup,181,11.2,2.8,2.6,5,17.7,3.4,3.3,1.5,27.7,1.3,214.1,0.042,0.069,0.049,0.5,0,3.5,0.002,80.6,1.3,116.189,
chicken gravy,188,13.6,3.4,6.1,3.6,12.9,1.9,4.6,1,4.8,1,203.1,0.088,0.091,0.1,0,0,0.3,0.046,47.6,1.1,80.872,
tomato rice soup,240,5.5,1,1.2,2.7,44.1,15.2,4.2,3.4,2.6,1.6,199,0.042,0.1,0.1,29.7,0,4.5,0.081,46.4,1.6,134.933,
vegetable beef soup,128,2,0.6,0.7,0.3,9.6,0,18.1,4.4,8.8,1.1,258.7,0,0,0,0,0,0,0,0,0,34.1,
tomato beef noodle soup,281,8.6,3.2,3.5,1.4,42.3,0,8.9,3,7.5,1.8,185.9,0,0.2,0.2,0,0,1.6,0,35.1,2.2,100.1,
oyster stew soup,118,7.7,5,1.8,0.3,8.2,0,4.2,0,27.1,1.8,221.1,0,0.068,0.077,6.4,0,0,0,44.3,2,72.8,
ramen noodle soup dry,371,13.3,6.4,5.6,1.2,53.9,1.3,8.9,2,0,1.7,4.2,0,0.9,0.2,0.3,0,1.3,0.038,24.7,3.4,106.5,
chicken noodle soup,145,4.7,1.2,1.6,1,18.4,0,7.2,2.7,24.2,2.1,267.2,0.029,0.011,0.001,0.1,0,0,0.2,0,0.4,33.513,
chicken bouillon dry,11,0.6,0.1,0.2,0.2,0.7,0.7,0.7,0,0.5,1,0.043,0,0.078,0.008,0.048,0,0.06,0,7.5,0.061,9.502,
cream of asparagus soup,174,8.2,2.1,1.9,3.7,21.5,1.8,4.6,1,10.1,1.7,211.8,0.091,0.1,0.2,5.5,0,1.2,0.01,58,1.6,100.43,
turkey noodle soup,139,4,1.1,1.6,1,17.3,1,7.8,1.5,10.1,1.6,217.7,0.082,0.1,0.1,0.3,0,0.4,0.062,22.7,1.9,55.582,
cream of shrimp soup,181,10.4,6.5,3,0.4,16.5,0,5.6,0.5,32.8,1.7,213.8,0.026,0.085,0.029,0,0,0,0,35.3,1.1,69.41,
bean with pork soup,335,11.5,3,4.2,3.5,44.1,7.8,15.3,15.3,5.2,1.7,182.4,0.021,0.2,0.03,3.1,0,2.3,0.011,156,4,249.324,
chicken broth,12,0.5,0.008,0.1,0.042,1,0,1,0,0,0.9,229.8,0,0.028,0.03,16.5,0,0,0,14.1,0.5,33.6,
beef broth powder,8,0.3,0.2,0.1,0.04,0.6,0.6,0.6,0,0.4,0.9,0.1,0,0.029,0.075,0,0,0.068,0.016,2.2,0.03,3.739,
split pea soup,180,2.3,0.8,0.9,0.4,29.9,12.8,9.7,4.8,5.1,0.4,208.5,0,0.2,0.079,0,0,0.5,0.022,43,1.9,91.6,
escarole soup,61,4,1.2,1.8,0.8,4,0,3.4,0,5.5,2.3,535.8,0,0.2,0.1,10,0,0,0,71.9,1.7,95,
chicken stock,86,2.9,0.8,1.4,0.5,8.5,3.8,6,0,7.2,0.3,221.2,0.009,0.073,0.2,0.5,0,0.046,0.081,7.2,0.5,25.696,
tomato bisque soup,248,5,1.1,1.4,2.2,47.7,0,4.5,2.1,10.3,1.8,194.3,0.017,0.1,0.1,11.9,0,0,0,80,1.7,152.913,
shark fin soup,99,4.3,1.1,1.3,0.7,8.2,0,6.9,0,4.3,1.1,194.7,0,0.019,0.086,0.2,0,0,0,21.6,2,43.2,
onion soup,113,3.5,0.5,1.5,1.3,16.4,6.7,7.5,1.7,0,1.3,212.4,0.02,0.022,0.016,2.5,0,0.5,0.088,54.1,1.4,87.173,
chicken gumbo soup,113,2.9,0.7,1.3,0.7,16.8,4.9,5.3,4,7.6,1.7,221.8,0,0.5,0.8,10.1,0,0.9,0.024,47.9,1.8,88.8,
crab soup,95,0.8,0.2,0.2,0.3,12.5,0,10.4,2.4,41.5,0.6,217.4,0,0.064,0.1,9.3,0,0,0.041,83,1.9,120.3,
tripe soup,148,5.2,2.1,2.2,0.6,8.1,0,17.2,0,118,0.8,166.8,0,0.041,0.011,0,0,0.8,0.031,44,1.4,75.9,
little india little lunch,164,10.6,15.6,12.2,1.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,
original chicken sandwich chick fil a,125,5.1,11.6,7.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,
sausage mcmuffin mcdonalds,383,24.2,8.3,8.9,3.7,28.2,2.2,14.6,1.6,44.9,0.8,44.8,0,0.4,0.3,0,0,0.3,0,257.6,2.3,328.5,
sausage mcgriddles mcdonalds,421,24,7.3,10.2,3.5,42.2,15.2,11.4,1.4,32.4,1,54.1,0,0.3,0.2,0,0,0,0,85.1,1.9,166,
crispy chicken drumstick kentucky fried chicken,70,3,0.8,1.2,0.8,0,0,10.6,0,56.2,0.2,26.6,0.025,0.08,0.1,0,0,0,0,6.6,0.4,20.632,
chicken crispy drumsticks kentucky fried chicken,156,10.1,2.2,3.4,3.6,4.5,0,11.8,0,62.1,0.4,29.3,0.071,0.045,0.1,0,0,0,0,14.3,0.5,41.248,
biscuit kentucky fried chicken,185,9.1,2.2,6.1,0.6,22.1,1.7,3.8,0.8,0.5,0.5,15.1,0,0.2,0.1,0,0,0.7,0.071,31.2,1.5,68.5,
english muffin mcdonalds,97,2.3,1.1,15.4,1.1,2.9,1.5,5.7,0.2,20.7,0.031,0,0.3,0.004,2.7,0,0.3,0,166.4,0.08,13.1,24.548,
french fries mcdonalds,378,18.1,2.7,8.6,5.5,49.8,0.2,4,4.6,0,0.2,42.9,0.052,0,0,0.4,6.6,0,1.6,0.003,0.1,77.129,
hotdog,383,23,8.1,10.8,2.7,28.5,0,16.4,0,69.8,1.1,83.6,0,0.4,0.4,0.2,0,0,0,37.2,3.7,109,
french fries burger king,207,9.2,1.6,2.4,4.4,28.6,0.4,2.4,2.1,0,0.2,32.5,0.085,0,0,0.2,1.6,0,1.8,0.083,0.005,42.635,
original taco with beef cheese lettuce taco bell,158,8.8,3,3,2.1,13.7,0.6,6.1,2.7,19.3,0.3,39.3,0,0.056,0.065,0.3,0,0.4,0.068,61.4,0.8,93.8,
hotdog with chili,296,13.4,4.9,6.6,1.2,31.3,0,13.5,0,51.3,0.5,54.5,0,0.2,0.4,2.7,0,0,0,19.4,3.3,83.6,
chicken crispy wings kentucky fried chicken,148,10.1,2.1,3.3,3.8,5.1,0,9.2,0,47.1,0.3,18.4,0.033,0.029,0.033,0,0,0,0,15.4,0.3,40.161,
egg white delight mcdonalds,250,16,4,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
french toast sticks burger king,73,3.7,0.8,2,0.5,8.7,2.1,1.3,0.3,0,0.014,7,0,0.066,0.039,0,0,0.2,0.009,11.1,0.4,25.5,
mcchicken mcdonalds,358,17.3,3.1,5.8,6.5,36.6,4.7,13.7,1.7,35.4,0.8,60.4,0.1,0,0.034,0,0,0,0,0,0.1,69.5,
nachos supreme taco bell,480,26.6,7.8,13.7,2.8,45,0,14.8,8,37.1,0.8,104.9,0,0.2,0.3,0,0,1.4,0.074,142.4,4.2,241,
crispy chicken wing kentucky fried chicken,104,5.3,1.1,1.7,1.8,1.3,0,12.6,0,64.2,0.3,23.7,0.019,0.029,0.032,0,0,0,0,13.2,0.4,32.851,
chicken strips burger king,105,5.5,1,1.5,2.7,7.4,0,6.6,0.5,15.8,0.3,15.5,0.055,0.076,0.065,0.1,0.4,0,1.4,0.046,0.005,20.168,
crispy chicken breast kentucky fried chicken,214,6.7,1.7,2.4,2.3,0.4,0,38.2,0,121.8,0.7,92,0.061,0.049,0.2,0,0,0,0,28,0.7,74.065,
sausage biscuit mcdonalds,440,29.7,12.5,10.3,4,31.8,2.3,11.3,1.4,33.9,1,40.6,0.049,0.5,0.3,0,0,0.9,0,64.4,2.4,141.05,
sausage burrito mcdonalds,339,17.1,6.1,6.5,2.4,24.2,1.4,13,1.2,172.9,0.8,55.8,0.004,0.2,0.3,0.9,0,0.2,0,203.4,1.8,261.627,
onion rings fried,27,1.6,0.3,0.4,0.8,2.8,0.4,0.3,0.2,0,0.015,1.6,0,0.045,0.07,0.055,0,0.3,0,7.5,0.038,12.551,
onion rings burger king,379,23,3.8,6.3,11.1,39.7,4.9,3.5,2.5,0,0.7,22.3,0,0.1,0.063,1.3,0,4.5,0,104.7,0.7,175.4,
turkey patty fried,79,5,1.3,2.1,1.3,4.4,0.053,3.9,0.1,21,0.2,13.9,0.088,0.096,0.032,0,0.078,0.3,0.074,3.9,0.6,17.934,
hotcakes with syrup mcdonalds,601,17.8,1.8,1.9,4.6,101.8,45.5,9,2,19.9,0.6,89.7,0,0.4,0.4,0,0,0,0,126,2.8,259.4,
crispy chicken thigh kentucky fried chicken,163,9.1,2.5,3.8,2.1,0,0,20.4,0,107.4,0.5,59.8,0.078,0.043,0.2,0,0,0,0,19.1,0.9,49.591,
corn dog,195,9.4,2.7,3.7,2.6,21,5.9,6.7,0.8,34.3,0.5,39.2,0.1,0.028,0.023,0.059,0.4,0.044,0.5,0.086,0.1,38.257,
chicken box mcdonalds,70,4,0.8,2.8,0.011,5.5,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,
potato wedges kentucky fried chicken,379,19.8,4,11.9,2.4,45,0,5.4,4.2,0,1,59.2,0,0.2,0.026,0,0,1.1,0.068,34.8,1.4,110.6,
scrambled eggs mcdonalds,98,7.5,2.1,2.7,1.1,0.9,0.1,7.7,0,217.8,0.04,34.1,0.046,0.018,0.3,0,0,0.7,0,33.7,1.1,50.931,
egg mcmuffin mcdonalds,287,12.2,4.5,3.4,2.2,27.3,2.7,17.2,1.4,207.9,0.8,66.3,0.1,0,0,0.2,1.5,0,0.7,0,0.1,58.5,
nachos taco bell,362,21.9,4.7,12.6,2.6,36,0,5.1,3.8,4,0.5,33.9,0,0.1,0.1,0,0,1,0.07,88.1,1.1,156,
biscuit large mcdonalds,310,14.4,8.3,3.4,2,39.4,2.7,5.5,1.8,0,0.9,27.6,0.095,0.4,0.3,0,0,1.1,0,68.4,2.5,132.022,
crispy chicken strips kentucky fried chicken,129,7.2,1.4,2,3.2,6.4,0,9.5,0.7,24,0.4,22.5,0,0.075,0.015,0,0,0.4,0.092,11.8,0.3,35.9,
hotcakes mcdonalds,113,2.9,0.6,0.6,1.5,19,4.4,3,0.7,6.4,0.2,23.9,0,0.1,0.1,0,0,0.3,0,41.7,0.9,68.2,
chicken crispy breast kentucky fried chicken,375,23.2,5,7.6,8.8,11.9,0,29.7,0,106.4,0.8,72,0.023,0.067,0.1,0,0,0,0,37.8,0.8,103.428,
hotcakes sausage mcdonalds,776,34.9,7.3,9,6.5,102.4,45.7,15.5,2.1,50.2,0.9,107.4,0,0.6,0.5,0,0,0,0,134.6,3.2,292.7,
chicken mcnuggets mcdonalds,48,3.2,0.5,1.3,0.9,2.4,0.025,2.5,0,7,0.009,7.5,0.071,0,0.005,0.072,0.2,0,0,0,0.017,8.181,
chips chipotle,151,7.1,0.9,19.3,1.1,2.1,2.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,
biscuit mcdonalds,261,12.2,7,2.8,1.7,33.3,2.2,4.7,1.5,0,0.7,23.3,0.07,0.4,0.3,0,0,0.9,0,57.8,2.1,111.687,
rice bowl with chicken,36,0.4,0.01,0.1,0.1,6.4,1.2,1.6,0.2,4.5,0.064,19.6,0.026,0.068,0.07,0.8,0,0.08,0.043,3.7,0.008,13.178,
spaghetti with meatballs,200,8.2,2.9,3.3,1.1,22.9,5.8,8.7,5.4,14,0.6,157.6,0.2,0.072,0.083,0.1,3.8,0.049,1,0.036,0.1,45.656,
meat ravioli canned,259,8.9,3.7,4.2,0.6,36,6.3,8.9,4.2,13.1,0.9,205.1,0.088,0.1,0.2,0,0,1.4,0.09,34.1,2.8,94.963,
cheese ravioli canned,186,3.5,1.7,1,0.4,33,9,6,3.1,7.3,0.7,195.8,0,0.2,0.2,0,0,2.1,0.067,79.9,1.8,127.3,
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,4.7,9.1,7.8,59.8,13.3,35.3,3.4,72,1.2,116.7,0,0.5,0.4,10.3,0,0,0,84,3.4,219.1,
steak sandwich,459,14.1,3.8,5.3,3.3,52,0,30.3,0,73.4,0.8,104.2,0,0.4,0.4,5.5,0,0,0,91.8,5.2,198.9,
cheeseburger burger king,380,19.7,9.1,7.6,2,31.5,6,19.4,3.7,59.9,0.8,59.3,0,0.4,0.3,0.3,0,0.1,0.093,123.7,3.3,201.6,
cheeseburger mcdonalds,313,14,5.3,4.3,0.4,33.1,7.4,15.4,1.3,41.7,0.7,53.6,0,0.3,0.3,0.7,0,0,0,198.7,2.8,266,
double cheeseburger,643,36.9,15.9,13.7,3,41,9.5,37,2.1,114,0.9,107.5,1.6,0.1,0.062,0.5,6.6,0.033,0.8,0.054,0.2,119.347,
double hamburger,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172,1.1,206.8,1.5,0,0.036,0.4,0.7,0.059,2.5,0.094,0.4,169.626,
premium grilled chicken classic sandwich mcdonalds,366,8.6,1.7,2.3,4.1,44.6,10,28.3,2.8,68,0.8,114.6,0.051,0.4,0.4,6.4,0,1.1,0,74,3,167.718,
big n tasty with cheese mcdonalds,573,36,10.8,10.7,7.1,39.7,9.5,27.2,3.2,91.4,1,140.1,0,0.3,0.7,4.4,0,0,0,224.8,4.4,339.7,
premium grilled chicken club sandwich mcdonalds,493,18,6.4,5.6,4.8,44.3,6.4,38.3,2.7,102.6,1,117.1,0,0.4,0.4,9.8,0,0,0,211.9,3.1,328.1,
quarter pounder mcdonalds,417,19.8,6.9,7.2,0.5,37.9,8.8,24.1,2.7,66.7,0.7,86.1,0,0.3,0.6,1.5,0,0,0,143.6,4.1,233.7,
premium crispy chicken classic sandwich mcdonalds,524,20,3.2,7.3,8.5,58.6,12.4,27.8,3.2,59.8,1,119.6,0,0.5,0.4,5.8,0,0,0,78.2,3.3,196.9,
veggie burger,124,4.4,1,1.2,1.4,10,0.7,11,3.4,3.5,0.4,42.8,0,1.9,0.2,3.2,0,0.2,0.069,95.2,1.7,128.9,
quarter pounder with cheese mcdonalds,513,28.3,11.2,9.2,0.9,39.7,9.8,29,2.8,93.5,1.2,97.3,0,0.3,0.7,1.6,0,0,0,286.6,4.2,392.2,
beef sandwich steak raw,173,15.1,6.5,6.2,0.3,0,0,9.2,0,39.8,0.043,31.4,0,0.066,0.065,0,0.077,0.1,0.046,6.7,1,32,
cheeseburger,292,13.2,6,5.1,1.4,28.7,5.9,15,1.6,41.4,0.6,55.3,0.5,0.087,0.091,1.1,0.7,0.042,0.3,0.04,0.1,60.289,
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,3,3.8,3.4,44.3,10.5,33.7,2.8,76.8,1,108.3,0,0.4,0.4,9.9,0,0,0,76.8,3,181.4,
double whopper with cheese burger king,1061,68.1,27.9,25.1,11.9,53.9,14.4,57.7,6.4,187.5,1.5,212.6,0,1.1,0.8,0.8,0,0.2,0.082,311.2,21.1,519.2,
big mac mcdonalds,563,32.8,8.3,7.6,0.7,44,8.7,25.9,3.5,78.8,1,112.3,0,0.4,0.5,0.9,0,0,0,254,4.4,365.5,
sandwich with cold cuts,833,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221,0.5,0.004,0.051,0.8,29.3,0.012,1.6,0.023,0.5,166.871,
filet o fish mcdonalds,378,19.6,3.8,5.4,8,35.4,4.9,15.1,1.9,42.9,0.6,61.3,0,0.3,0.2,0.4,0,1.6,0.058,160.8,2.1,235.3,
