food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
apple strudel,195,8,1.5,2.3,3.8,29.2,18.3,2.3,1.6,4.3,0.02,30.9,0.011,0.087,0.016,1.2,0,1,0.002,10.7,0.3,53.359,121
chocolate snack cake,200,8,2.4,4.3,0.9,30.2,18.9,1.8,1.6,0,0.2,9.3,0.001,0.051,0.013,1,0,0.5,0.08,58,1.8,102.459,122
fruit fried pie,404,20.6,3.1,9.5,6.9,54.5,27.4,3.8,3.3,0,0.4,48.1,0.065,0.2,0.1,1.7,0,2.2,0.035,28.2,1.6,113.776,123
pumpkin pie,316,14.4,4.9,5.7,2.8,40.9,0,7,0,65.1,0.3,90.7,0.1,0.1,0.3,2.6,0,0,0,145.7,2,212.686,124
corn cake,35,0.2,0.019,0.032,0.098,7.5,2.1,0.7,0.2,0,0.01,0.4,0.013,0.057,0.084,0,0,0,0,1.7,0.1,10.437,125
sponge snack cake,157,4.8,1.7,2.1,0.8,26.9,15.7,1.5,0.4,17.2,0.2,8.2,0.095,0.091,0.022,0.089,0.098,0.3,0.011,10.1,0.6,44.404,126
danish pastry with nuts,280,16.4,3.8,8.9,2.8,29.7,16.8,4.6,1.3,29.9,0.2,13.3,0.054,0.1,0.2,1.1,0,0.5,0.018,61.1,1.2,115.451,127
chocolate cream pie,301,19.2,4.9,11,2.4,33.3,0,2.6,2,5,0.1,43.1,0,0.002,0.1,0,0,0,0,35.6,1.1,93.8,128
angel food cake,72,0.2,0.071,0.095,0.1,16.2,0,1.7,0.4,0,0.2,9.3,0,0.095,0.1,0,0,0,0,39.2,0.1,57.8,129
lemon meringue pie,362,16.4,4,7.1,4.2,49.7,0,4.8,0,67.3,0.3,55,0.011,0.1,0.2,4.2,0,0,0,15.2,1.3,91.632,130
danish pastry with cinnamon,349,16.7,3.5,10.6,1.6,46.9,0,4.8,0,27.3,0.3,18.4,0.058,0.3,0.2,2.6,0,0,0,37,1.8,109.897,131
cinnamon coffeecake,238,13.3,3.3,7.4,1.8,26.6,0,3.9,1.1,18.2,0.2,12.5,0.049,0.1,0.1,0.2,0,0,0,30.8,1.1,77.089,132
cheesecake,257,18,7.9,6.9,1.3,20.4,17.4,4.4,0.3,44,0.4,36.5,0.1,0.061,0.2,0.3,0.078,0.4,0.093,40.8,0.5,84.8,133
fruitcake,139,3.9,0.5,1.8,1.4,26.5,11.8,1.2,1.6,2.2,0.013,10.9,0.06,0.004,0.063,0.2,0,0.4,0.032,14.2,0.9,48.507,134
egg custard,293,12.9,6.1,3.9,1.2,31,31,14.2,0,236.9,0.2,222.4,0.1,0.1,0.7,0,0,0.6,0.097,301.7,1,360.9,135
mince pie,477,17.8,4.4,7.7,4.7,79.2,46.7,4.3,4.3,0,0.4,61.7,0,0.2,0.2,9.7,0,0.2,0.071,36.3,2.5,154.1,136
yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23,0.4,32.2,0,0.032,0.1,0,0,6.5,0.089,46.1,2.9,161.1,137
danish pastry with fruit,335,15.9,3.3,10.1,1.6,45.1,0,4.8,0,18.8,0.3,27.3,0.043,0.3,0.2,1.6,0,0,0,21.6,1.4,90.454,138
white cake with coconut frosting,399,11.5,4.4,4.1,2.4,70.8,64.3,4.9,1.1,1.1,0.3,23.2,0.015,0.1,0.2,0.1,0.047,0.1,0.019,100.8,1.3,190.574,139
danish pastry with cheese,353,24.6,5.1,15.6,2.4,28.7,0,5.8,0,20,0.3,30.8,0.057,0.3,0.2,2.6,0,0,0,70.1,1.8,133.666,140
graham cracker pie crust,917,45.4,9.1,31,3.1,117.7,33.2,9.3,3.5,0,0.9,8,0,0.3,0.4,0,0,3.4,0.058,53.1,4.8,233.8,141
blueberry pie,360,17.5,4.3,7.5,4.5,49.2,0,4,0,0,0.3,75.3,0,0.2,0.2,1,0,0,0,10.3,1.8,83.8,142
yellow cake with vanilla frosting,239,9.3,1.5,3.9,3.3,37.6,0,2.2,0.2,35.2,0.2,14.1,0.027,0.018,0.099,0,0,0,0,39.7,0.7,89.788,143
